id,radius1,lambda1,lambda2,convexity,sphericity,varCurv,intCurv,b1,b2,muK,IK2,varK
2998,6.2670150881e-02,3.5328479683e-01,3.4602102634e-01,9.9921007246e-01,1.0000000000e+00,3.8566551622e-03,1.1567757972e+01,3.6690000000e-01,3.1780000000e-01,2.2507462781e+00,6.7832456352e-02,2.0311556575e-01
2999,3.1909931377e-01,3.5369836335e-01,3.3643450248e-01,9.9993363048e-01,1.0000000000e+00,1.6611309739e-03,1.3259302463e+01,3.6100000000e-01,3.3110000000e-01,1.8844237401e+00,3.3074724863e-02,0.0000000000e+00
3000,2.8166334357e-01,3.7473115735e-01,3.1771811092e-01,9.9971730812e-01,1.0000000000e+00,3.9557836541e-03,1.1697211539e+01,3.5620000000e-01,3.5400000000e-01,2.0438210397e+00,6.1343205508e-02,2.1253471803e-02
3001,2.8224960255e-01,3.4782221120e-01,3.3280080080e-01,9.9989710116e-01,1.0000000000e+00,1.2610990963e-03,1.3107826226e+01,3.4870000000e-01,3.3710000000e-01,1.8826594458e+00,3.2772963980e-02,0.0000000000e+00
3002,2.7813281144e-01,3.4844099882e-01,3.3234878220e-01,9.9966277432e-01,1.0000000000e+00,2.4572069279e-03,1.2821167741e+01,3.4730000000e-01,3.3420000000e-01,1.9932976891e+00,3.5512763530e-02,0.0000000000e+00
3003,-1.1879085532e-01,3.7561630396e-01,3.4385114044e-01,9.9762908095e-01,9.9282306312e-01,7.0734056328e-03,9.6935511202e+00,3.9360000000e-01,3.2540000000e-01,2.3623728359e+00,9.3369771509e-02,4.4620214950e-01
3004,1.7006026568e-01,3.5084932240e-01,3.2921936586e-01,9.9948506583e-01,1.0000000000e+00,7.2299376616e-03,1.1632439730e+01,3.4650000000e-01,3.3950000000e-01,1.9523667812e+00,4.0601131920e-02,0.0000000000e+00
3005,1.6498592152e-01,3.5174052754e-01,3.3979813433e-01,9.9950380165e-01,1.0000000000e+00,3.9636766527e-03,1.1282815236e+01,3.5290000000e-01,3.2770000000e-01,2.1075388304e+00,5.2757208291e-02,8.5496920662e-02
3006,2.4440348358e-01,3.6159029500e-01,3.2219711223e-01,9.9973420539e-01,1.0000000000e+00,1.3814341456e-03,1.2482215795e+01,3.4890000000e-01,3.4800000000e-01,2.1204051055e+00,5.4018215281e-02,4.7095761381e-02
3007,1.4496114376e-01,3.4747802729e-01,3.3865778358e-01,9.9922306357e-01,1.0000000000e+00,2.3376438670e-03,1.1126467322e+01,3.6130000000e-01,3.2000000000e-01,2.1975693204e+00,6.1454711189e-02,1.8210361068e-01
3008,2.1173663127e-01,3.5391398603e-01,3.3065253245e-01,9.9949787366e-01,1.0000000000e+00,3.0563941466e-03,1.1372144391e+01,3.5040000000e-01,3.3840000000e-01,2.1750008632e+00,7.1203678055e-02,1.9260958821e-01
3009,1.1490068428e-01,4.2292251817e-01,4.0224520227e-01,7.9941127877e-01,7.8902390249e-01,1.7438377983e-01,2.2655026722e+01,4.6170000000e-01,2.8700000000e-01,4.6717848934e+00,3.7480503544e-01,5.2614418548e-01
3010,2.8274229508e-01,3.5895882927e-01,3.3322108555e-01,9.9961495998e-01,1.0000000000e+00,3.8772870622e-03,1.2428524959e+01,3.5580000000e-01,3.3690000000e-01,1.9350621542e+00,4.6884934391e-02,0.0000000000e+00
3011,2.4974063868e-01,3.6666348504e-01,3.3241463971e-01,9.9915319610e-01,1.0000000000e+00,7.6613766344e-03,1.1762598689e+01,3.6760000000e-01,3.3330000000e-01,1.9591124932e+00,4.0796030890e-02,0.0000000000e+00
3012,-3.3041623392e-01,4.0189673478e-01,3.1471292530e-01,9.9646936963e-01,9.6413485403e-01,2.9569057565e-03,7.4846134354e+00,3.8010000000e-01,3.6290000000e-01,2.6537696729e+00,1.2841996486e-01,4.4668518295e-01
3013,2.9297593953e-01,3.4808049063e-01,3.3363451843e-01,9.9977639321e-01,1.0000000000e+00,8.9562801737e-03,1.2196894689e+01,3.4010000000e-01,3.4000000000e-01,2.2672735678e+00,6.4171168467e-02,8.7549812825e-02
3014,1.6006832893e-01,3.5557270977e-01,3.3249794678e-01,9.9954003395e-01,1.0000000000e+00,1.2376620388e-03,1.2426193695e+01,3.5550000000e-01,3.3920000000e-01,2.1922215204e+00,6.0393393879e-02,9.5399106388e-02
3015,2.7084565347e-01,3.5458365375e-01,3.2625438614e-01,9.9991802314e-01,1.0000000000e+00,7.8198323681e-04,1.2961025820e+01,3.4480000000e-01,3.4440000000e-01,1.8976770402e+00,3.3360834520e-02,0.0000000000e+00
3016,1.0653897336e-01,3.6606339317e-01,3.4058497750e-01,9.9884155070e-01,1.0000000000e+00,9.6738918253e-03,1.0205492487e+01,3.7440000000e-01,3.2930000000e-01,2.3479436553e+00,7.8544748332e-02,3.7785291631e-01
3017,1.8297794296e-01,3.4811087310e-01,3.2813063986e-01,9.9935236597e-01,1.0000000000e+00,5.2312134820e-03,1.1522525533e+01,3.3970000000e-01,3.3650000000e-01,2.2211902469e+00,6.4814843059e-02,1.3911363362e-01
3018,2.9564163055e-01,3.5262317545e-01,3.2876339030e-01,9.9994902088e-01,1.0000000000e+00,1.1431086765e-03,1.3663484750e+01,3.4850000000e-01,3.3720000000e-01,1.8366339588e+00,2.6271577003e-02,0.0000000000e+00
